stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104613.209797,32.971895,29.255319,32.738095,0.031637,550.000,315,118,331,158,378,GuardBoat,0.888563
1756104613.251840,33.161673,29.891304,33.266129,0.026342,550.000,315,119,331,157,377,GuardBoat,0.889795
1756104613.325756,33.161673,29.891304,33.266129,0.047574,550.000,315,119,331,157,377,GuardBoat,0.888970
1756104613.361907,33.358653,29.255319,32.226562,0.026299,550.000,315,119,332,157,379,GuardBoat,0.888800
1756104613.419175,33.358653,30.555556,33.811475,0.030969,550.000,315,119,331,157,376,GuardBoat,0.887869
1756104613.475475,33.515892,30.555556,33.266129,0.002753,550.000,315,119,332,158,377,GuardBoat,0.885283
1756104613.576588,33.695736,30.555556,33.266129,0.001664,550.000,315,120,332,158,377,GuardBoat,0.881888
1756104613.625905,33.695736,29.891304,33.266129,0.047652,550.000,315,120,331,158,377,GuardBoat,0.883295
1756104613.674703,33.892726,30.555556,33.811475,0.012573,550.000,315,120,331,157,376,GuardBoat,0.879313
1756104613.732727,34.059907,30.555556,33.811475,0.044572,550.000,315,120,331,157,376,GuardBoat,0.881841
1756104613.776464,34.059907,30.555556,33.811475,0.000834,550.000,315,120,331,158,376,GuardBoat,0.882655
1756104613.840262,34.239751,31.250000,34.375000,0.037060,550.000,315,121,331,157,375,GuardBoat,0.881700
1756104613.888327,34.239751,30.555556,33.811475,0.011004,550.000,315,121,331,157,376,GuardBoat,0.879196
1756104613.987288,34.436752,35.256410,36.184211,0.000057,550.000,315,121,333,157,372,GuardBoat,0.875245
1756104614.066122,34.626535,31.976744,34.957627,0.021247,550.000,315,121,331,158,374,GuardBoat,0.885420
1756104614.099391,34.626535,31.976744,34.957627,0.012021,550.000,315,121,331,158,374,GuardBoat,0.885097
1756104614.168944,34.783782,31.976744,34.957627,0.008449,550.000,315,122,331,158,374,GuardBoat,0.874228
1756104614.265723,34.983506,31.976744,34.957627,0.021694,550.000,315,122,331,158,374,GuardBoat,0.880433
1756104614.332710,34.983506,31.976744,34.957627,0.045294,550.000,315,122,331,158,374,GuardBoat,0.875446
1756104614.374104,35.163349,32.738095,35.560345,0.013336,550.000,315,122,331,158,373,GuardBoat,0.878641
1756104614.417044,35.163349,33.536585,36.184211,0.029604,550.000,315,122,331,158,372,GuardBoat,0.886280
